epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,459.407,0.52178,0.80867,0.90179,0.98036,0.96746,0.995,0.92711,0.36009,0.36442,0.85718,7.57344e-05,7.57344e-05,7.57344e-05
90,464.584,0.53461,0.84142,0.93332,0.98137,0.96469,0.995,0.9286,0.37051,0.359,0.85924,6.99132e-05,6.99132e-05,6.99132e-05
91,484.262,0.48279,0.86268,0.86343,0.97731,0.96575,0.995,0.9175,0.38023,0.37096,0.85777,6.4092e-05,6.4092e-05,6.4092e-05
92,489.048,0.50046,0.87732,0.87685,0.97259,0.96646,0.995,0.9116,0.3823,0.3845,0.85813,5.82708e-05,5.82708e-05,5.82708e-05
93,493.988,0.50097,0.90162,0.88207,0.97322,0.97142,0.995,0.92073,0.38392,0.38872,0.86052,5.24496e-05,5.24496e-05,5.24496e-05
94,498.989,0.52662,0.93364,0.89469,0.97123,0.97576,0.995,0.91448,0.38947,0.38615,0.86035,4.66284e-05,4.66284e-05,4.66284e-05
95,503.987,0.48357,0.92121,0.89323,0.97317,0.97099,0.995,0.91479,0.38975,0.3734,0.85812,4.08072e-05,4.08072e-05,4.08072e-05
96,508.736,0.47461,0.89403,0.88714,0.97394,0.97069,0.995,0.92441,0.38357,0.36977,0.85665,3.4986e-05,3.4986e-05,3.4986e-05
97,513.753,0.46963,0.88278,0.86936,0.98017,0.96344,0.995,0.9199,0.39195,0.36851,0.85509,2.91648e-05,2.91648e-05,2.91648e-05
98,518.768,0.46277,0.85367,0.86797,0.97998,0.96382,0.995,0.92299,0.3975,0.36694,0.85657,2.33436e-05,2.33436e-05,2.33436e-05
99,523.688,0.47685,0.84787,0.88761,0.9776,0.96804,0.995,0.92292,0.39863,0.35982,0.856,1.75224e-05,1.75224e-05,1.75224e-05
100,528.454,0.47103,0.84534,0.87594,0.97528,0.96957,0.995,0.92044,0.40622,0.36484,0.85721,1.17012e-05,1.17012e-05,1.17012e-05
